ID_Pengguna;Nama;NoTelp;Email;Alamat;Domisili;Latitude;Longitude;Tanggal_Bergabung
1;Drajat Waluyo;+62 (0683) 647-5883;drajatwaluyo@hotmail.com;"Gg. Dipenogoro No. 242
Bandar Lampung, LA 14627";Salatiga;-71.3428585;-85.015432;2020-04-05
2;Langgeng Firgantoro;+62 (0659) 062 7478;langgengfirgantoro@yahoo.com;"Jl. R.E Martadinata No. 243
Cilegon, JA 70254";Pagaralam;-75.324034;172.362053;2021-12-11
3;Asmadi Prasetya;+62 (064) 654-8308;asmadiprasetya@hotmail.com;"Gang Jayawijaya No. 374
Binjai, Kalimantan Barat 55415";Kota Administrasi Jakarta Utara;3.147399;-91.798038;2021-08-05
4;Cemplunk Yuliarti;(061) 710 9923;cemplunkyuliarti@yahoo.com;"Gang Rajawali Timur No. 352
Dumai, YO 67743";Binjai;-11.218322;54.232707;2020-05-11
5;Icha Oktaviani;+62-060-769-7276;ichaoktaviani@hotmail.com;"Gg. Kutai No. 82
Kota Administrasi Jakarta Utara, Riau 65110";Pagaralam;88.0739265;-159.779331;2023-10-28
6;Jono Pranowo;+62 (0009) 476 5425;jonopranowo@gmail.com;"Jalan Dr. Djunjunan No. 677
Banjarmasin, MA 50978";Tanjungbalai;24.316727;92.226408;2023-07-13
7;Julia Wahyudin;+62-232-315-5252;juliawahyudin@gmail.com;"Gang Gedebage Selatan No. 78
Banjarbaru, Kalimantan Barat 91683";Palembang;-17.774364;-39.798436;2024-02-04
8;Uchita Namaga;+62 (057) 064 3913;uchitanamaga@gmail.com;"Jl. Suryakencana No. 69
Sabang, Papua 53877";Tegal;58.317420;-137.941332;2024-04-22
9;Fitriani Nugroho;080 539 5161;fitrianinugroho@gmail.com;"Jalan Sukajadi No. 75
Cilegon, Sumatera Barat 25128";Bogor;-56.625629;-91.810477;2024-02-15
10;Opung Hartati;+62 (799) 924 3780;opunghartati@yahoo.com;"Gg. Waringin No. 0
Batam, Riau 28252";Makassar;-38.884393;56.212517;2024-02-05
